Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
OBS-VIZ-54,Baja California Sur,VIZCAÍNO,71.7,27.648194,-113.473222,2011,37.25,0.07,20.51
OBS-VIZ-53,Baja California Sur,VIZCAÍNO,77.01,27.673,-113.470222,2011,41.2,0.07,20.51
OBS-VIZ-51,Baja California Sur,VIZCAÍNO,74.69,27.470306,-113.298167,2011,44.8,0.09,21.65
OBS-VIZ-50,Baja California Sur,VIZCAÍNO,75.71,27.512889,-113.323056,2011,44.76,0.09,21.65
OBS-VIZ-49,Baja California Sur,VIZCAÍNO,62.57,27.541056,-113.377861,2011,32.16,0.09,21.65
OBS-VIZ-48,Baja California Sur,VIZCAÍNO,58.05,27.530067,-113.393139,2011,27.55,0.09,21.65
OBS-VIZ-47,Baja California Sur,VIZCAÍNO,115.62,27.798608,-113.3729,2011,52.5,0.09,21.51
OBS-VIZ-46,Baja California Sur,VIZCAÍNO,117.53,27.785667,-113.36075,2011,45.0,0.09,21.51
OBS-VIZ-45,Baja California Sur,VIZCAÍNO,117.98,27.779247,-113.328153,2011,40.96,0.09,21.51
OBS-VIZ-43,Baja California Sur,VIZCAÍNO,146.67,27.831994,-113.266525,2011,37.88,0.09,21.51
OBS-VIZ-37,Baja California Sur,VIZCAÍNO,44.01,27.879925,-113.802867,2011,30.98,0.07,19.69
OBS-VIZ-35,Baja California Sur,VIZCAÍNO,68.64,27.599947,-113.384239,2011,32.67,0.09,21.65
OBS-VIZ-34,Baja California Sur,VIZCAÍNO,52.99,27.572375,-113.534375,2011,21.75,0.07,20.51
OBS-VIZ-30,Baja California Sur,VIZCAÍNO,145.68,27.840139,-113.299111,2011,39.5,0.09,21.51
OBS-VIZ-28,Baja California Sur,VIZCAÍNO,79.16,27.667597,-113.468389,2011,41.91,0.07,20.51
OBS-VIZ-27,Baja California Sur,VIZCAÍNO,77.25,27.531556,-113.326278,2011,45.19,0.09,21.65
OBS-VIZ-26,Baja California Sur,VIZCAÍNO,76.16,27.471083,-113.28975,2011,43.81,0.09,21.65
OBS-VIZ-25,Baja California Sur,VIZCAÍNO,63.15,27.510778,-113.382389,2011,29.28,0.09,21.65
OBS-VIZ-24,Baja California Sur,VIZCAÍNO,62.48,27.535861,-113.382639,2011,31.22,0.09,21.65
OBS-VIZ-23,Baja California Sur,VIZCAÍNO,58.67,27.530194,-113.374694,2011,32.61,0.09,21.65
OBS-VIZ-22,Baja California Sur,VIZCAÍNO,58.26,27.527611,-113.394111,2011,28.4,0.09,21.65
OBS-VIZ-21,Baja California Sur,VIZCAÍNO,17.93,27.619825,-113.757294,2011,6.9,0.07,20.51
OBS-VIZ-16B,Baja California Sur,VIZCAÍNO,46.0,27.886117,-113.798961,2011,32.33,0.07,19.69
OBS-VIZ-16,Baja California Sur,VIZCAÍNO,44.53,27.5445,-113.743761,2011,14.02,0.07,20.51
OBS-VIZ-13,Baja California Sur,VIZCAÍNO,75.63,27.760631,-113.531753,2011,35.92,0.07,19.69
OBS-VIZ-12,Baja California Sur,VIZCAÍNO,29.06,27.889856,-113.856036,2011,21.76,0.07,19.69
OBS-VIZ-10,Baja California Sur,VIZCAÍNO,57.43,27.926275,-113.805153,2011,41.87,0.07,19.69
OBS-VIZ-09,Baja California Sur,VIZCAÍNO,71.77,27.896689,-113.7322,2011,46.6,0.07,19.69
OBS-VIZ-01,Baja California Sur,VIZCAÍNO,53.87,27.571431,-113.522964,2011,23.24,0.07,20.51
M53,Baja California Sur,MULEGÉ,11.73,26.872842,-112.004714,2011,9.5,0.12,23.84
M41,Baja California Sur,MULEGÉ,10.2,26.884011,-112.004681,2011,6.38,0.12,23.84
M40,Baja California Sur,MULEGÉ,10.2,26.881111,-112.000772,2011,7.02,0.12,23.84
M38,Baja California Sur,MULEGÉ,9.43,26.880972,-111.997544,2011,6.32,0.12,23.84
M36,Baja California Sur,MULEGÉ,8.15,26.883069,-111.996125,2011,5.26,0.12,23.84
M34,Baja California Sur,MULEGÉ,14.34,26.882506,-112.019342,2011,10.38,0.12,23.84
M33,Baja California Sur,MULEGÉ,13.57,26.882172,-112.018047,2011,9.4,0.12,23.84
M30,Baja California Sur,MULEGÉ,13.32,26.884861,-112.017889,2011,10.17,0.12,23.84
M29,Baja California Sur,MULEGÉ,11.19,26.882417,-112.011717,2011,7.46,0.12,23.84
M28,Baja California Sur,MULEGÉ,11.05,26.885711,-112.011081,2011,10.98,0.12,23.84
M25,Baja California Sur,MULEGÉ,7.93,26.887783,-111.999022,2011,4.7,0.12,23.84
M23,Baja California Sur,MULEGÉ,2.9,26.895856,-111.960006,2011,2.67,0.12,23.84
M22,Baja California Sur,MULEGÉ,11.55,26.880192,-112.003406,2011,7.91,0.12,23.84
M21,Baja California Sur,MULEGÉ,10.98,26.878983,-112.003181,2011,7.49,0.12,23.84
M19,Baja California Sur,MULEGÉ,12.33,26.877719,-112.008428,2011,8.74,0.12,23.84
M18,Baja California Sur,MULEGÉ,13.38,26.878094,-112.014014,2011,9.59,0.12,23.84
M17,Baja California Sur,MULEGÉ,12.1,26.874858,-112.010222,2011,8.55,0.12,23.84
M16,Baja California Sur,MULEGÉ,14.77,26.8752,-112.020078,2011,11.67,0.12,23.84
M15,Baja California Sur,MULEGÉ,14.27,26.869947,-112.017556,2011,12.05,0.12,23.84
M12,Baja California Sur,MULEGÉ,17.77,26.870861,-112.029922,2011,13.64,0.12,23.84
M11,Baja California Sur,MULEGÉ,20.69,26.867908,-112.035803,2011,16.11,0.12,23.84
M09,Baja California Sur,MULEGÉ,23.25,26.862294,-112.040097,2011,18.75,0.12,23.84
M01,Baja California Sur,MULEGÉ,22.98,26.902014,-112.047656,2011,18.31,0.12,23.84
F_6,Baja California Sur,SANTO DOMINGO,28.95,25.253833,-111.925,2011,24.3,0.13,22.79
EL PALMAR,Baja California Sur,LA PAZ,194.0,23.932528,-110.259556,2011,23.67,0.28,24.62
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2011,9.5,0.26,24.34
CNA_SI_26,Baja California Sur,SAN IGNACIO,39.93,27.313489,-113.338842,2011,17.36,0.09,21.65
CNA_SI_24,Baja California Sur,SAN IGNACIO,43.42,27.331067,-113.334714,2011,27.5,0.09,21.65
CNA_SI_22,Baja California Sur,SAN IGNACIO,72.6,27.356592,-113.228275,2011,39.5,0.09,21.65
CNA_SI_09,Baja California Sur,SAN IGNACIO,179.87,27.326297,-112.762769,2011,48.88,0.14,22.51
CNA_SI_07,Baja California Sur,SAN IGNACIO,194.27,27.357575,-112.768544,2011,50.44,0.14,22.51
CNA_SI_06,Baja California Sur,SAN IGNACIO,198.88,27.354031,-112.763031,2011,64.67,0.14,22.51
CNA_SI_05,Baja California Sur,SAN IGNACIO,178.35,27.346264,-112.768661,2011,53.12,0.14,22.51
CNA-VIZ-08,Baja California Sur,VIZCAÍNO,4.62,27.917167,-113.963639,2011,3.93,0.07,19.69
CNA-SI-20,Baja California Sur,SAN IGNACIO,87.69,27.382339,-113.210964,2011,52.45,0.09,21.65
BUEN SUR,Baja California Sur,LA PAZ,198.0,23.929278,-110.255333,2011,20.04,0.28,24.62
BOLA DE FUEGO,Baja California Sur,LA PAZ,29.0,24.056667,-110.392222,2011,32.2,0.25,23.87
9,Baja California Sur,SANTO DOMINGO,36.64,25.379167,-111.769167,2011,53.21,0.13,22.79
80_30,Baja California Sur,SANTO DOMINGO,74.38,25.045333,-111.559667,2011,41.5,0.16,24.41
77_15,Baja California Sur,SANTO DOMINGO,61.79,25.249167,-111.63,2011,77.53,0.16,22.46
76_9B,Baja California Sur,SANTO DOMINGO,61.79,25.328833,-111.6305,2011,44.41,0.13,22.79
73_49_1,Baja California Sur,SANTO DOMINGO,14.16,24.7725,-111.67,2011,22.75,0.16,22.46
7,Baja California Sur,SANTO DOMINGO,20.87,25.408833,-111.888333,2011,28.0,0.13,22.79
59.1,Baja California Sur,SANTO DOMINGO,48.32,24.9145,-111.608333,2011,57.4,0.16,22.46
57_611_2,Baja California Sur,SANTO DOMINGO,33.86,24.920333,-111.683,2011,48.4,0.16,22.46
55_7,Baja California Sur,SANTO DOMINGO,31.26,24.949167,-111.730333,2011,50.0,0.16,22.46
54-12,Baja California Sur,SANTO DOMINGO,47.85,24.9775,-111.649167,2011,68.48,0.16,22.46
528,Baja California Sur,SANTO DOMINGO,12.15,25.5,-111.885333,2011,18.16,0.13,22.79
50.26,Baja California Sur,SANTO DOMINGO,60.34,24.963667,-111.587833,2011,62.24,0.16,22.46
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2011,8.98,0.21,24.28
48_08,Baja California Sur,SANTO DOMINGO,41.96,25.021167,-111.735833,2011,76.25,0.16,22.46
46_24,Baja California Sur,SANTO DOMINGO,36.65,25.0225,-111.785333,2011,54.9,0.16,22.46
44_75_76,Baja California Sur,SANTO DOMINGO,57.63,25.005833,-111.618333,2011,71.4,0.16,22.46
42_34,Baja California Sur,SANTO DOMINGO,54.33,25.077,-111.7,2011,61.9,0.16,22.46
42_06,Baja California Sur,SANTO DOMINGO,44.82,25.112833,-111.7275,2011,64.86,0.16,22.46
42975,Baja California Sur,SANTO DOMINGO,63.48,25.197167,-111.655833,2011,70.87,0.16,22.46
41_01,Baja California Sur,SANTO DOMINGO,36.78,25.072833,-111.775833,2011,53.24,0.16,22.46
419,Baja California Sur,LA PAZ,13.0,24.112417,-110.328147,2011,13.94,0.25,23.87
416,Baja California Sur,LA PAZ,45.0,24.1225,-110.299167,2011,42.6,0.28,24.62
415,Baja California Sur,LA PAZ,40.0,24.108333,-110.291667,2011,41.97,0.28,24.62
409,Baja California Sur,LA PAZ,66.0,24.018611,-110.400278,2011,71.25,0.25,23.87
408,Baja California Sur,LA PAZ,11.0,24.077778,-110.398889,2011,14.04,0.25,23.87
407,Baja California Sur,LA PAZ,18.0,24.075,-110.398611,2011,17.92,0.25,23.87
406,Baja California Sur,LA PAZ,14.0,24.089444,-110.408889,2011,15.42,0.25,23.87
405,Baja California Sur,LA PAZ,38.0,24.063056,-110.411111,2011,40.69,0.25,23.87
403,Baja California Sur,LA PAZ,33.0,24.038333,-110.37,2011,38.7,0.25,23.87
4,Baja California Sur,SANTO DOMINGO,12.64,25.4545,-111.9175,2011,20.15,0.13,22.79
39_2,Baja California Sur,SANTO DOMINGO,67.61,25.0625,-111.583833,2011,33.35,0.16,22.46
38_2,Baja California Sur,SANTO DOMINGO,53.27,25.075,-111.638333,2011,36.2,0.16,22.46
385,Baja California Sur,LA PAZ,17.0,24.085556,-110.408056,2011,17.58,0.25,23.87
384,Baja California Sur,LA PAZ,34.0,24.0825,-110.419167,2011,36.6,0.25,23.87
381-R,Baja California Sur,LA PAZ,39.0,24.069444,-110.413889,2011,40.52,0.25,23.87
380-R,Baja California Sur,LA PAZ,38.0,24.040833,-110.383889,2011,42.45,0.25,23.87
37_32,Baja California Sur,SANTO DOMINGO,69.22,25.1375,-111.579167,2011,39.77,0.16,22.46
379,Baja California Sur,LA PAZ,13.0,24.099167,-110.416944,2011,14.18,0.25,23.87
378-R,Baja California Sur,LA PAZ,25.0,24.053611,-110.372778,2011,30.58,0.25,23.87
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2011,9.5,0.32,25.15
36_25,Baja California Sur,SANTO DOMINGO,53.64,25.123333,-111.670833,2011,50.4,0.16,22.46
368,Baja California Sur,LA PAZ,11.0,24.102222,-110.418333,2011,12.53,0.25,23.87
35_78,Baja California Sur,SANTO DOMINGO,38.39,25.1645,-111.7945,2011,69.05,0.16,22.46
35_21,Baja California Sur,SANTO DOMINGO,30.79,25.1055,-111.852,2011,39.6,0.16,22.46
35_14,Baja California Sur,SANTO DOMINGO,20.54,25.128,-111.902167,2011,27.8,0.16,22.46
34_14,Baja California Sur,SANTO DOMINGO,30.57,25.167,-111.861167,2011,51.4,0.16,22.46
33,Baja California Sur,SANTO DOMINGO,45.63,25.149667,-111.7455,2011,74.08,0.16,22.46
32_02,Baja California Sur,SANTO DOMINGO,16.31,25.128,-111.951167,2011,22.1,0.16,22.46
326,Baja California Sur,LA PAZ,20.0,24.082222,-110.407778,2011,21.57,0.25,23.87
253,Baja California Sur,LA PAZ,5.0,24.092222,-110.398611,2011,7.6,0.25,23.87
252,Baja California Sur,LA PAZ,10.0,24.089167,-110.380556,2011,10.27,0.25,23.87
25,Baja California Sur,SANTO DOMINGO,34.55,25.222,-111.8355,2011,58.6,0.16,22.46
243,Baja California Sur,LA PAZ,13.0,24.087222,-110.370556,2011,14.2,0.25,23.87
242-R,Baja California Sur,LA PAZ,13.0,24.085278,-110.373889,2011,14.49,0.25,23.87
228-A,Baja California Sur,LA PAZ,7.0,24.090833,-110.400278,2011,8.02,0.25,23.87
221,Baja California Sur,LA PAZ,15.0,24.076028,-110.377472,2011,17.38,0.25,23.87
217-R,Baja California Sur,LA PAZ,19.0,24.070278,-110.3975,2011,21.88,0.25,23.87
216,Baja California Sur,LA PAZ,32.0,24.0575,-110.398611,2011,35.0,0.25,23.87
20_16_17,Baja California Sur,SANTO DOMINGO,29.9,25.239667,-111.803667,2011,58.7,0.16,22.46
209,Baja California Sur,LA PAZ,38.0,24.027222,-110.368611,2011,44.4,0.25,23.87
208,Baja California Sur,LA PAZ,32.0,24.036389,-110.364167,2011,38.8,0.25,23.87
206,Baja California Sur,LA PAZ,33.0,24.034444,-110.356667,2011,41.16,0.25,23.87
205,Baja California Sur,LA PAZ,25.0,24.053611,-110.359167,2011,31.02,0.25,23.87
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2011,5.31,0.21,24.28
19_73,Baja California Sur,SANTO DOMINGO,49.63,25.240833,-111.688667,2011,64.49,0.16,22.46
19_25,Baja California Sur,SANTO DOMINGO,48.99,25.201333,-111.712,2011,73.5,0.16,22.46
19_20,Baja California Sur,SANTO DOMINGO,40.98,25.1995,-111.761333,2011,68.28,0.16,22.46
197-A,Baja California Sur,LA PAZ,9.0,24.098611,-110.352778,2011,11.32,0.25,23.87
191-R,Baja California Sur,LA PAZ,10.0,24.096389,-110.3525,2011,11.5,0.25,23.87
186_XIII,Baja California Sur,SAN JOSÉ DEL CABO,23.72,23.086333,-109.699,2011,3.92,0.21,24.28
182,Baja California Sur,LA PAZ,12.0,24.093611,-110.350556,2011,13.84,0.25,23.87
181-R,Baja California Sur,LA PAZ,17.0,24.073611,-110.348889,2011,21.41,0.25,23.87
172,Baja California Sur,LA PAZ,14.0,24.078611,-110.354444,2011,17.7,0.25,23.87
171-A,Baja California Sur,LA PAZ,13.0,24.088333,-110.350833,2011,15.96,0.25,23.87
167-R,Baja California Sur,LA PAZ,42.0,24.0489,-110.334369,2011,49.1,0.25,23.87
